country,sex,birthyear,age,life_satisfaction,work_importance,financial_satisfaction,religiousity,political_scale,marital_status,employment,work_importance_r,age_group
CAN,Male,1938,82,9,4,10,An atheist,2,Widowed,Retired/pensioned,1,61+
NZL,Female,1937,82,10,4,10,A religious person,10,Widowed,Retired/pensioned,1,61+
NZL,Female,1937,82,10,2,9,An atheist,9,Married,Retired/pensioned,3,61+
NZL,Male,1937,82,8,2,9,Not a religious person,5,Married,Full time,3,61+
NZL,Male,1937,82,9,4,8,A religious person,7,Living together as married,Retired/pensioned,1,61+
SGP,Male,1938,82,8,3,8,Not a religious person,7,Widowed,Retired/pensioned,2,61+
SGP,Female,1937,82,1,4,2,A religious person,9,Widowed,Homemaker not otherwise employed,1,61+
SGP,Female,1937,82,10,1,10,An atheist,2,Widowed,Self employed,4,61+
SGP,Male,1937,82,8,3,8,Not a religious person,6,Married,Retired/pensioned,2,61+
SGP,Female,1938,82,7,4,7,A religious person,3,Married,Homemaker not otherwise employed,1,61+
SGP,Male,1937,82,9,1,8,Not a religious person,8,Married,Retired/pensioned,4,61+
CAN,Female,1938,81,7,3,6,Not a religious person,4,Divorced,Retired/pensioned,2,61+
CAN,Male,1939,81,8,3,7,A religious person,9,Married,Retired/pensioned,2,61+
CAN,Female,1938,81,8,4,10,A religious person,8,Married,Retired/pensioned,1,61+
CAN,Female,1938,81,5,3,7,Not a religious person,5,Married,Retired/pensioned,2,61+
CAN,Male,1939,81,9,1,10,A religious person,6,Married,Retired/pensioned,4,61+
CAN,Male,1939,81,9,2,7,A religious person,3,Married,Retired/pensioned,3,61+
NZL,Female,1938,81,7,2,5,A religious person,5,Widowed,Retired/pensioned,3,61+
NZL,Female,1938,81,9,1,9,A religious person,6,Married,Retired/pensioned,4,61+
NZL,Female,1938,81,10,4,9,A religious person,5,Married,Retired/pensioned,1,61+
NZL,Male,1938,81,8,4,6,A religious person,7,Married,Retired/pensioned,1,61+
NZL,Male,1938,81,10,1,10,A religious person,9,Married,Retired/pensioned,4,61+
SGP,Female,1939,81,5,2,8,Not a religious person,5,Married,Homemaker not otherwise employed,3,61+
SGP,Male,1938,81,5,3,4,A religious person,10,Married,Retired/pensioned,2,61+
SGP,Male,1939,81,5,3,6,Not a religious person,5,Married,Retired/pensioned,2,61+
SGP,Female,1938,81,8,3,8,A religious person,2,Married,Retired/pensioned,2,61+
SGP,Male,1938,81,8,2,6,An atheist,1,Widowed,Retired/pensioned,3,61+
SGP,Female,1939,81,7,1,4,A religious person,5,Widowed,Full time,4,61+
SGP,Male,1938,81,8,3,10,A religious person,3,Married,Retired/pensioned,2,61+
SGP,Male,1939,81,9,4,8,A religious person,8,Married,Retired/pensioned,1,61+
CAN,Female,1940,80,9,3,9,A religious person,10,Widowed,Retired/pensioned,2,61+
CAN,Male,1940,80,7,3,8,A religious person,8,Married,Retired/pensioned,2,61+
CAN,Male,1939,80,7,1,3,A religious person,6,Married,Retired/pensioned,4,61+
CAN,Female,1939,80,8,4,10,An atheist,5,Single,Retired/pensioned,1,61+
CAN,Female,1940,80,4,4,1,A religious person,5,Widowed,Retired/pensioned,1,61+
CAN,Male,1940,80,8,3,8,A religious person,6,Married,Retired/pensioned,2,61+
CAN,Female,1939,80,6,2,6,Not a religious person,6,Married,Retired/pensioned,3,61+
CAN,Male,1940,80,10,4,10,Not a religious person,6,Married,Retired/pensioned,1,61+
CAN,Male,1940,80,8,4,8,A religious person,5,Married,Retired/pensioned,1,61+
CAN,Female,1940,80,7,1,9,An atheist,4,Living together as married,Retired/pensioned,4,61+
CAN,Male,1939,80,8,2,8,Not a religious person,6,Married,Retired/pensioned,3,61+
CAN,Male,1939,80,8,2,8,A religious person,7,Married,Retired/pensioned,3,61+
CAN,Male,1939,80,9,2,8,An atheist,6,Married,Retired/pensioned,3,61+
CAN,Male,1940,80,8,2,8,A religious person,3,Married,Retired/pensioned,3,61+
CAN,Male,1940,80,7,4,7,An atheist,9,Married,Retired/pensioned,1,61+
CAN,Male,1940,80,7,3,9,A religious person,2,Married,Retired/pensioned,2,61+
NZL,Male,1939,80,9,2,8,Not a religious person,7,Married,Retired/pensioned,3,61+
NZL,Male,1939,80,9,4,9,Not a religious person,3,Married,Retired/pensioned,1,61+
NZL,Female,1939,80,9,4,8,Not a religious person,6,Widowed,Retired/pensioned,1,61+
NZL,Male,1939,80,7,1,5,Not a religious person,5,Separated,Retired/pensioned,4,61+
NZL,Male,1939,80,8,1,8,Not a religious person,8,Married,Retired/pensioned,4,61+
NZL,Female,1939,80,8,1,6,A religious person,5,Widowed,Retired/pensioned,4,61+
NZL,Female,1939,80,9,1,5,Not a religious person,2,Widowed,Self employed,4,61+
NZL,Male,1939,80,9,1,10,A religious person,7,Married,Retired/pensioned,4,61+
SGP,Male,1940,80,7,3,6,A religious person,6,Married,Retired/pensioned,2,61+
SGP,Male,1940,80,8,2,6,A religious person,6,Married,Self employed,3,61+
SGP,Male,1940,80,5,3,6,Not a religious person,7,Widowed,Retired/pensioned,2,61+
CAN,Male,1941,79,9,1,8,A religious person,2,Married,Retired/pensioned,4,61+
CAN,Male,1940,79,8,1,7,Not a religious person,4,Married,Retired/pensioned,4,61+
CAN,Female,1941,79,9,4,9,A religious person,2,Married,Retired/pensioned,1,61+
CAN,Male,1941,79,9,3,9,A religious person,5,Married,Retired/pensioned,2,61+
CAN,Male,1940,79,8,1,7,A religious person,9,Widowed,Self employed,4,61+
CAN,Male,1940,79,6,2,4,Not a religious person,6,Widowed,Retired/pensioned,3,61+
CAN,Female,1940,79,8,4,8,A religious person,4,Widowed,Retired/pensioned,1,61+
CAN,Male,1940,79,9,1,9,A religious person,1,Married,Self employed,4,61+
CAN,Female,1941,79,10,2,10,Not a religious person,6,Married,Retired/pensioned,3,61+
CAN,Male,1941,79,8,1,8,An atheist,8,Divorced,Retired/pensioned,4,61+
CAN,Male,1941,79,9,3,8,Not a religious person,3,Married,Retired/pensioned,2,61+
CAN,Female,1941,79,8,4,9,Not a religious person,8,Single,Retired/pensioned,1,61+
CAN,Female,1941,79,2,4,3,Not a religious person,5,Living together as married,Retired/pensioned,1,61+
CAN,Female,1941,79,9,4,9,A religious person,5,Married,Retired/pensioned,1,61+
CAN,Female,1941,79,9,4,9,A religious person,9,Widowed,Retired/pensioned,1,61+
CAN,Male,1941,79,8,1,3,Not a religious person,8,Married,Retired/pensioned,4,61+
NZL,Female,1940,79,9,4,8,A religious person,9,Married,Unemployed,1,61+
NZL,Male,1940,79,9,1,9,Not a religious person,9,Married,Retired/pensioned,4,61+
NZL,Female,1940,79,6,2,6,A religious person,5,Married,Retired/pensioned,3,61+
NZL,Female,1940,79,10,1,10,A religious person,10,Married,Unemployed,4,61+
NZL,Female,1940,79,8,3,7,Not a religious person,8,Married,Retired/pensioned,2,61+
SGP,Male,1941,79,5,2,5,Not a religious person,5,Married,Retired/pensioned,3,61+
SGP,Female,1941,79,7,4,7,A religious person,6,Widowed,Homemaker not otherwise employed,1,61+
SGP,Male,1940,79,8,2,8,A religious person,6,Married,Retired/pensioned,3,61+
SGP,Female,1940,79,9,1,8,A religious person,3,Single,Full time,4,61+
SGP,Female,1941,79,7,2,8,A religious person,5,Widowed,Retired/pensioned,3,61+
SGP,Male,1941,79,8,1,9,A religious person,6,Married,Retired/pensioned,4,61+
SGP,Female,1941,79,7,3,7,Not a religious person,7,Widowed,Retired/pensioned,2,61+
CAN,Female,1942,78,8,4,9,A religious person,3,Married,Retired/pensioned,1,61+
CAN,Male,1942,78,8,3,8,A religious person,10,Married,Retired/pensioned,2,61+
CAN,Male,1942,78,9,4,9,An atheist,3,Separated,Retired/pensioned,1,61+
CAN,Female,1942,78,9,4,7,An atheist,3,Divorced,Retired/pensioned,1,61+
CAN,Female,1942,78,8,1,8,A religious person,5,Widowed,Retired/pensioned,4,61+
CAN,Male,1942,78,7,1,7,An atheist,8,Married,Retired/pensioned,4,61+
CAN,Male,1942,78,8,2,9,A religious person,7,Married,Retired/pensioned,3,61+
CAN,Male,1942,78,7,1,9,An atheist,6,Married,Retired/pensioned,4,61+
CAN,Male,1942,78,8,4,5,Not a religious person,6,Married,Retired/pensioned,1,61+
CAN,Female,1942,78,5,3,7,Not a religious person,2,Married,Retired/pensioned,2,61+
CAN,Male,1942,78,8,2,6,Not a religious person,3,Married,Retired/pensioned,3,61+
CAN,Female,1941,78,7,2,6,Not a religious person,3,Married,Retired/pensioned,3,61+
CAN,Male,1941,78,9,4,8,A religious person,5,Married,Retired/pensioned,1,61+
CAN,Male,1942,78,8,3,6,A religious person,8,Married,Retired/pensioned,2,61+
CAN,Female,1941,78,8,1,10,An atheist,5,Single,Retired/pensioned,4,61+
CAN,Male,1942,78,7,2,6,A religious person,8,Widowed,Retired/pensioned,3,61+
CAN,Male,1942,78,9,2,9,A religious person,6,Married,Retired/pensioned,3,61+
CAN,Male,1942,78,8,3,7,A religious person,5,Married,Retired/pensioned,2,61+
CAN,Male,1942,78,9,4,10,A religious person,4,Married,Retired/pensioned,1,61+
CAN,Male,1942,78,8,2,8,A religious person,5,Married,Retired/pensioned,3,61+
NZL,Male,1941,78,9,2,8,A religious person,8,Widowed,Retired/pensioned,3,61+
NZL,Male,1941,78,9,1,8,Not a religious person,5,Married,Retired/pensioned,4,61+
NZL,Male,1941,78,10,1,10,Not a religious person,7,Married,Part time,4,61+
NZL,Male,1941,78,8,2,7,A religious person,9,Widowed,Retired/pensioned,3,61+
NZL,Male,1941,78,8,4,8,Not a religious person,3,Widowed,Retired/pensioned,1,61+
NZL,Female,1941,78,7,4,5,A religious person,1,Married,Retired/pensioned,1,61+
NZL,Male,1941,78,9,4,9,An atheist,3,Married,Retired/pensioned,1,61+
NZL,Male,1941,78,9,4,10,An atheist,7,Married,Retired/pensioned,1,61+
NZL,Male,1941,78,9,1,7,A religious person,8,Married,Full time,4,61+
SGP,Male,1941,78,4,4,5,Not a religious person,4,Married,Part time,1,61+
SGP,Female,1942,78,7,1,8,A religious person,5,Married,Retired/pensioned,4,61+
SGP,Female,1942,78,10,3,10,A religious person,3,Divorced,Retired/pensioned,2,61+
SGP,Female,1942,78,8,3,8,A religious person,5,Widowed,Homemaker not otherwise employed,2,61+
SGP,Male,1941,78,7,4,7,A religious person,1,Married,Retired/pensioned,1,61+
SGP,Male,1941,78,10,2,10,A religious person,2,Widowed,Retired/pensioned,3,61+
SGP,Male,1941,78,6,1,4,A religious person,5,Widowed,Unemployed,4,61+
CAN,Male,1943,77,9,1,9,Not a religious person,4,Married,Retired/pensioned,4,61+
CAN,Male,1943,77,8,4,2,Not a religious person,6,Married,Retired/pensioned,1,61+
CAN,Male,1943,77,7,4,8,An atheist,8,Married,Retired/pensioned,1,61+
CAN,Male,1943,77,8,2,8,A religious person,5,Married,Retired/pensioned,3,61+
CAN,Male,1943,77,10,4,8,A religious person,5,Married,Retired/pensioned,1,61+
CAN,Female,1942,77,9,3,8,A religious person,6,Married,Retired/pensioned,2,61+
CAN,Female,1943,77,8,4,6,A religious person,10,Married,Retired/pensioned,1,61+
CAN,Male,1942,77,8,1,7,A religious person,5,Married,Retired/pensioned,4,61+
CAN,Female,1942,77,8,3,7,A religious person,3,Single,Retired/pensioned,2,61+
CAN,Female,1943,77,8,2,7,A religious person,2,Divorced,Self employed,3,61+
CAN,Male,1943,77,7,3,7,Not a religious person,3,Married,Retired/pensioned,2,61+
CAN,Female,1943,77,7,1,7,Not a religious person,5,Widowed,Retired/pensioned,4,61+
CAN,Male,1943,77,8,3,8,A religious person,8,Married,Retired/pensioned,2,61+
CAN,Male,1943,77,8,1,9,Not a religious person,4,Married,Self employed,4,61+
CAN,Female,1943,77,8,4,7,Not a religious person,2,Widowed,Retired/pensioned,1,61+
CAN,Female,1943,77,6,2,2,Not a religious person,5,Divorced,Retired/pensioned,3,61+
CAN,Female,1942,77,6,4,8,An atheist,5,Widowed,Retired/pensioned,1,61+
CAN,Male,1943,77,8,4,10,An atheist,6,Married,Retired/pensioned,1,61+
CAN,Female,1943,77,7,1,8,A religious person,10,Married,Retired/pensioned,4,61+
CAN,Female,1943,77,7,3,3,A religious person,4,Widowed,Retired/pensioned,2,61+
CAN,Female,1943,77,6,4,6,An atheist,4,Divorced,Retired/pensioned,1,61+
CAN,Female,1942,77,6,4,9,Not a religious person,5,Married,Retired/pensioned,1,61+
CAN,Female,1943,77,8,4,8,Not a religious person,5,Divorced,Retired/pensioned,1,61+
CAN,Male,1943,77,6,2,8,An atheist,2,Married,Retired/pensioned,3,61+
CAN,Male,1942,77,7,3,8,A religious person,7,Married,Retired/pensioned,2,61+
CAN,Male,1943,77,9,3,10,An atheist,8,Married,Retired/pensioned,2,61+
CAN,Male,1943,77,1,4,2,A religious person,3,Single,Retired/pensioned,1,61+
CAN,Male,1943,77,8,1,3,An atheist,8,Married,Retired/pensioned,4,61+
CAN,Female,1943,77,9,4,7,A religious person,5,Widowed,Retired/pensioned,1,61+
CAN,Male,1943,77,8,3,8,Not a religious person,7,Married,Retired/pensioned,2,61+
CAN,Female,1942,77,8,3,9,A religious person,5,Married,Retired/pensioned,2,61+
NZL,Male,1942,77,8,4,9,Not a religious person,4,Widowed,Retired/pensioned,1,61+
NZL,Female,1942,77,9,4,10,Not a religious person,7,Married,Retired/pensioned,1,61+
NZL,Female,1942,77,7,4,7,Not a religious person,7,Widowed,Retired/pensioned,1,61+
NZL,Female,1942,77,8,3,8,Not a religious person,2,Married,Retired/pensioned,2,61+
NZL,Male,1942,77,8,2,5,Not a religious person,7,Married,Retired/pensioned,3,61+
NZL,Male,1942,77,10,3,4,A religious person,9,Married,Retired/pensioned,2,61+
NZL,Male,1942,77,9,1,10,A religious person,6,Married,Retired/pensioned,4,61+
NZL,Female,1942,77,6,4,5,A religious person,9,Married,Retired/pensioned,1,61+
NZL,Female,1942,77,10,2,10,Not a religious person,7,Married,Retired/pensioned,3,61+
NZL,Male,1942,77,9,1,8,Not a religious person,8,Married,Retired/pensioned,4,61+
NZL,Male,1942,77,9,4,7,Not a religious person,1,Married,Retired/pensioned,1,61+
SGP,Female,1943,77,5,3,7,A religious person,5,Married,Retired/pensioned,2,61+
SGP,Male,1942,77,8,1,8,A religious person,10,Married,Retired/pensioned,4,61+
SGP,Female,1942,77,8,3,8,A religious person,5,Married,Retired/pensioned,2,61+
SGP,Female,1942,77,9,1,9,A religious person,1,Married,Retired/pensioned,4,61+
SGP,Female,1942,77,10,4,10,Not a religious person,4,Widowed,Retired/pensioned,1,61+
SGP,Male,1943,77,8,3,8,An atheist,1,Widowed,Retired/pensioned,2,61+
SGP,Male,1942,77,5,1,3,A religious person,5,Widowed,Retired/pensioned,4,61+
SGP,Male,1943,77,7,2,6,An atheist,6,Married,Unemployed,3,61+
SGP,Male,1943,77,8,3,7,A religious person,8,Divorced,Part time,2,61+
CAN,Female,1944,76,5,1,8,A religious person,10,Separated,Retired/pensioned,4,61+
CAN,Female,1943,76,8,2,8,Not a religious person,9,Single,Retired/pensioned,3,61+
CAN,Male,1943,76,3,1,4,Not a religious person,8,Married,Retired/pensioned,4,61+
CAN,Male,1944,76,8,3,8,A religious person,4,Married,Retired/pensioned,2,61+
CAN,Female,1944,76,8,4,8,A religious person,3,Divorced,Retired/pensioned,1,61+
CAN,Female,1944,76,8,2,7,A religious person,7,Single,Retired/pensioned,3,61+
CAN,Male,1944,76,7,1,3,An atheist,7,Married,Retired/pensioned,4,61+
CAN,Male,1944,76,8,3,9,A religious person,10,Married,Retired/pensioned,2,61+
CAN,Male,1944,76,8,4,6,Not a religious person,5,Married,Retired/pensioned,1,61+
CAN,Female,1944,76,6,1,7,An atheist,3,Divorced,Part time,4,61+
CAN,Male,1944,76,10,2,8,A religious person,8,Married,Retired/pensioned,3,61+
CAN,Female,1944,76,9,4,9,An atheist,5,Married,Retired/pensioned,1,61+
CAN,Female,1944,76,6,4,4,A religious person,8,Widowed,Retired/pensioned,1,61+
CAN,Female,1944,76,8,3,7,A religious person,9,Married,Retired/pensioned,2,61+
CAN,Female,1944,76,10,4,10,A religious person,3,Living together as married,Retired/pensioned,1,61+
CAN,Male,1945,76,9,1,8,A religious person,2,Married,Retired/pensioned,4,61+
CAN,Male,1944,76,7,2,4,Not a religious person,6,Married,Self employed,3,61+
CAN,Male,1943,76,8,2,5,A religious person,5,Divorced,Part time,3,61+
CAN,Male,1944,76,5,3,5,A religious person,8,Married,Retired/pensioned,2,61+
CAN,Female,1944,76,8,2,10,A religious person,1,Married,Retired/pensioned,3,61+
CAN,Female,1944,76,9,3,7,Not a religious person,5,Widowed,Retired/pensioned,2,61+
CAN,Male,1944,76,8,4,9,A religious person,7,Married,Retired/pensioned,1,61+
CAN,Male,1944,76,8,1,8,A religious person,8,Married,Retired/pensioned,4,61+
CAN,Male,1944,76,7,1,4,An atheist,2,Living together as married,Retired/pensioned,4,61+
CAN,Female,1944,76,8,3,8,Not a religious person,5,Divorced,Retired/pensioned,2,61+
CAN,Male,1944,76,9,1,10,A religious person,4,Married,Retired/pensioned,4,61+
CAN,Male,1944,76,9,1,9,Not a religious person,4,Married,Self employed,4,61+
CAN,Male,1943,76,8,4,7,Not a religious person,2,Living together as married,Retired/pensioned,1,61+
CAN,Male,1944,76,6,1,3,A religious person,1,Married,Part time,4,61+
CAN,Male,1944,76,9,3,9,Not a religious person,4,Married,Retired/pensioned,2,61+
CAN,Male,1944,76,9,1,9,Not a religious person,5,Married,Retired/pensioned,4,61+
CAN,Male,1944,76,7,2,8,An atheist,3,Married,Retired/pensioned,3,61+
CAN,Male,1943,76,8,1,8,A religious person,4,Widowed,Retired/pensioned,4,61+
CAN,Male,1943,76,7,3,6,An atheist,3,Married,Retired/pensioned,2,61+
CAN,Male,1944,76,9,2,8,An atheist,5,Single,Self employed,3,61+
NZL,Female,1943,76,8,2,4,An atheist,5,Widowed,Retired/pensioned,3,61+
NZL,Male,1943,76,7,4,7,Not a religious person,6,Married,Retired/pensioned,1,61+
NZL,Female,1943,76,4,4,5,A religious person,8,Married,Retired/pensioned,1,61+
NZL,Male,1943,76,7,4,5,Not a religious person,6,Married,Retired/pensioned,1,61+
NZL,Male,1943,76,5,4,10,A religious person,3,Married,Retired/pensioned,1,61+
NZL,Male,1943,76,8,1,3,Not a religious person,4,Living together as married,Retired/pensioned,4,61+
NZL,Male,1943,76,8,1,7,Not a religious person,6,Single,Retired/pensioned,4,61+
NZL,Female,1943,76,10,1,7,A religious person,10,Widowed,Full time,4,61+
NZL,Female,1943,76,10,1,8,Not a religious person,10,Married,Retired/pensioned,4,61+
SGP,Male,1943,76,10,1,8,A religious person,4,Married,Retired/pensioned,4,61+
SGP,Male,1943,76,5,3,5,A religious person,5,Married,Retired/pensioned,2,61+
SGP,Female,1944,76,7,4,7,A religious person,6,Widowed,Retired/pensioned,1,61+
SGP,Female,1944,76,7,2,6,A religious person,5,Married,Self employed,3,61+
SGP,Male,1944,76,8,3,1,A religious person,1,Married,Retired/pensioned,2,61+
SGP,Female,1944,76,8,2,8,A religious person,5,Single,Retired/pensioned,3,61+
SGP,Female,1944,76,6,3,6,Not a religious person,3,Widowed,Unemployed,2,61+
SGP,Male,1944,76,8,3,8,A religious person,8,Married,Retired/pensioned,2,61+
CAN,Male,1944,75,10,3,10,A religious person,7,Married,Retired/pensioned,2,61+
CAN,Male,1945,75,7,2,6,An atheist,4,Married,Part time,3,61+
CAN,Female,1944,75,1,2,1,Not a religious person,6,Single,Self employed,3,61+
CAN,Female,1945,75,9,1,9,A religious person,2,Widowed,Retired/pensioned,4,61+
CAN,Male,1944,75,8,2,7,A religious person,5,Married,Retired/pensioned,3,61+
CAN,Male,1944,75,7,2,8,Not a religious person,7,Married,Retired/pensioned,3,61+
CAN,Female,1945,75,8,4,8,Not a religious person,6,Married,Retired/pensioned,1,61+
CAN,Male,1945,75,8,2,8,A religious person,5,Married,Retired/pensioned,3,61+
CAN,Male,1945,75,9,3,5,Not a religious person,8,Married,Retired/pensioned,2,61+
CAN,Male,1945,75,10,4,10,An atheist,5,Living together as married,Retired/pensioned,1,61+
CAN,Male,1945,75,8,2,8,An atheist,5,Separated,Retired/pensioned,3,61+
CAN,Male,1945,75,8,4,10,A religious person,6,Married,Retired/pensioned,1,61+
CAN,Female,1945,75,8,2,6,Not a religious person,5,Married,Retired/pensioned,3,61+
CAN,Male,1945,75,7,1,8,An atheist,4,Divorced,Retired/pensioned,4,61+
CAN,Female,1944,75,7,4,10,An atheist,3,Single,Retired/pensioned,1,61+
CAN,Female,1944,75,1,1,10,An atheist,4,Living together as married,Retired/pensioned,4,61+
CAN,Female,1945,75,7,2,8,A religious person,4,Widowed,Retired/pensioned,3,61+
CAN,Male,1945,75,8,2,10,A religious person,6,Married,Retired/pensioned,3,61+
CAN,Male,1945,75,9,3,8,Not a religious person,3,Married,Retired/pensioned,2,61+
CAN,Male,1944,75,9,4,10,Not a religious person,5,Single,Retired/pensioned,1,61+
CAN,Female,1945,75,4,2,3,A religious person,6,Widowed,Retired/pensioned,3,61+
CAN,Female,1945,75,10,4,9,A religious person,7,Married,Retired/pensioned,1,61+
NZL,Male,1944,75,9,2,9,Not a religious person,8,Married,Part time,3,61+
NZL,Male,1944,75,3,4,2,A religious person,2,Married,Retired/pensioned,1,61+
NZL,Female,1944,75,9,4,8,A religious person,9,Married,Retired/pensioned,1,61+
NZL,Male,1944,75,5,1,10,Not a religious person,5,Married,Retired/pensioned,4,61+
NZL,Female,1944,75,10,3,9,Not a religious person,4,Married,Retired/pensioned,2,61+
