country,sex,age,marital_status,employment
CAN,Female,42,Living together as married,Full time
CAN,Male,31,Separated,Full time
CAN,Male,44,Living together as married,Full time
CAN,Male,55,Married,Full time
CAN,Female,68,Divorced,Retired/pensioned
CAN,Male,28,Married,Full time
CAN,Female,26,Living together as married,Full time
CAN,Female,29,Living together as married,Full time
CAN,Female,35,Single,Full time
CAN,Male,32,Single,Full time
CAN,Male,45,Living together as married,Full time
CAN,Male,32,Single,Unemployed
CAN,Male,39,Living together as married,Full time
CAN,Male,24,Living together as married,Part time
CAN,Male,38,Single,Full time
CAN,Female,29,Living together as married,Full time
CAN,Female,66,Widowed,Full time
CAN,Female,31,Single,Full time
CAN,Female,45,Single,Full time
CAN,Female,25,Married,Part time
CAN,Male,44,Married,Full time
CAN,Male,62,Married,Retired/pensioned
CAN,Female,45,Divorced,Full time
CAN,Female,51,Divorced,Full time
CAN,Female,33,Single,Student
CAN,Male,53,Married,Unemployed
CAN,Male,32,Living together as married,Full time
CAN,Female,28,Single,Student
CAN,Female,38,Living together as married,Full time
CAN,Female,32,Single,Full time
CAN,Male,27,Single,Full time
CAN,Male,47,Single,Part time
CAN,Female,23,Single,Full time
CAN,Male,40,Married,Full time
CAN,Female,33,Married,Full time
CAN,Female,68,Married,Retired/pensioned
CAN,Female,51,Divorced,Full time
CAN,Female,30,Married,Part time
CAN,Male,51,Single,Self employed
CAN,Female,80,Widowed,Retired/pensioned
CAN,Male,50,Single,Retired/pensioned
CAN,Male,19,Single,Part time
CAN,Female,26,Married,Full time
CAN,Female,53,Living together as married,Unemployed
CAN,Male,29,Living together as married,Part time
CAN,Female,37,Married,Part time
CAN,Male,33,Married,Full time
CAN,Female,86,Widowed,Self employed
CAN,Female,22,Living together as married,Student
CAN,Female,50,Single,Full time
CAN,Male,30,Single,Full time
CAN,Female,27,Separated,Part time
CAN,Female,45,Single,Unemployed
CAN,Female,20,Living together as married,Student
CAN,Female,23,Single,Part time
CAN,Female,27,Living together as married,Full time
CAN,Female,34,Married,Full time
CAN,Male,54,Married,Full time
CAN,Female,42,Single,Full time
CAN,Male,18,Single,Student
CAN,Female,26,Single,Full time
CAN,Female,65,Married,Retired/pensioned
CAN,Female,34,Married,Full time
CAN,Male,31,Living together as married,Full time
CAN,Male,49,Single,Retired/pensioned
CAN,Female,38,Married,Homemaker not otherwise employed
CAN,Male,21,Single,Student
CAN,Female,69,Divorced,Retired/pensioned
CAN,Male,56,Single,Retired/pensioned
CAN,Female,37,Married,Full time
CAN,Female,26,Living together as married,Student
CAN,Female,60,Divorced,Part time
CAN,Female,48,Married,Full time
CAN,Male,70,Married,Retired/pensioned
CAN,Male,74,Married,Retired/pensioned
CAN,Male,64,Married,Retired/pensioned
CAN,Male,66,Single,Retired/pensioned
CAN,Female,34,Married,Full time
CAN,Female,61,Single,Retired/pensioned
CAN,Male,58,Married,Retired/pensioned
CAN,Male,61,Divorced,Retired/pensioned
CAN,Male,34,Single,Unemployed
CAN,Male,77,Married,Retired/pensioned
CAN,Female,56,Divorced,Other
CAN,Female,43,Married,Full time
CAN,Male,65,Married,Retired/pensioned
CAN,Male,68,Single,Retired/pensioned
CAN,Male,44,Married,Full time
CAN,Female,45,Married,Part time
CAN,Male,64,Living together as married,Retired/pensioned
CAN,Male,32,Married,Part time
CAN,Female,67,Divorced,Retired/pensioned
CAN,Female,78,Married,Retired/pensioned
CAN,Male,32,Living together as married,Full time
CAN,Male,62,Married,Retired/pensioned
CAN,Male,49,Married,Full time
CAN,Male,37,Single,Full time
CAN,Male,24,Living together as married,Full time
CAN,Female,69,Married,Retired/pensioned
CAN,Male,66,Married,Self employed
CAN,Female,70,Separated,Retired/pensioned
CAN,Female,28,Single,Full time
CAN,Female,69,Divorced,Retired/pensioned
CAN,Male,68,Married,Retired/pensioned
CAN,Male,29,Living together as married,Self employed
CAN,Female,63,Separated,Retired/pensioned
CAN,Male,28,Married,Student
CAN,Female,45,Married,Full time
CAN,Male,67,Married,Retired/pensioned
CAN,Male,50,Married,Full time
CAN,Female,29,Married,Full time
CAN,Female,59,Married,Retired/pensioned
CAN,Female,29,Single,Student
CAN,Male,74,Married,Retired/pensioned
CAN,Female,38,Married,Full time
CAN,Female,37,Living together as married,Unemployed
CAN,Female,27,Married,Full time
CAN,Male,55,Married,Full time
CAN,Male,24,Single,Full time
CAN,Male,66,Married,Full time
CAN,Female,68,Married,Retired/pensioned
CAN,Male,35,Married,Full time
CAN,Female,23,Living together as married,Student
CAN,Female,18,Single,Student
CAN,Female,36,Living together as married,Full time
CAN,Male,51,Married,Self employed
CAN,Female,32,Single,Full time
CAN,Male,35,Single,Homemaker not otherwise employed
CAN,Female,65,Widowed,Retired/pensioned
CAN,Female,68,Married,Retired/pensioned
CAN,Female,26,Married,Homemaker not otherwise employed
CAN,Male,54,Separated,Full time
CAN,Female,56,Married,Retired/pensioned
CAN,Female,47,Married,Part time
CAN,Female,37,Married,Homemaker not otherwise employed
CAN,Female,29,Living together as married,Full time
CAN,Female,28,Living together as married,Full time
CAN,Female,39,Married,Full time
CAN,Female,34,Living together as married,Unemployed
CAN,Female,35,Married,Self employed
CAN,Male,37,Divorced,Full time
CAN,Male,37,Married,Full time
CAN,Female,36,Married,Full time
CAN,Female,76,Single,Retired/pensioned
CAN,Female,38,Married,Retired/pensioned
CAN,Female,62,Married,Part time
CAN,Female,27,Living together as married,Full time
CAN,Female,50,Living together as married,Full time
CAN,Female,22,Single,Part time
CAN,Male,72,Living together as married,Retired/pensioned
CAN,Female,67,Widowed,Retired/pensioned
CAN,Male,61,Married,Full time
CAN,Male,40,Married,Full time
CAN,Male,31,Living together as married,Full time
CAN,Male,57,Married,Full time
CAN,Male,63,Married,Full time
CAN,Female,52,Living together as married,Unemployed
CAN,Male,66,Divorced,Retired/pensioned
CAN,Female,48,Single,Full time
CAN,Male,57,Married,Full time
CAN,Male,79,Married,Retired/pensioned
CAN,Male,29,Divorced,Unemployed
CAN,Male,33,Married,Full time
CAN,Female,41,Divorced,Self employed
CAN,Female,35,Married,Full time
CAN,Male,48,Married,Full time
CAN,Male,59,Married,Unemployed
CAN,Male,88,Widowed,Retired/pensioned
CAN,Female,52,Single,Unemployed
CAN,Female,63,Married,Retired/pensioned
CAN,Male,56,Widowed,Self employed
CAN,Male,30,Living together as married,Full time
CAN,Male,40,Single,Unemployed
CAN,Female,20,Single,Student
CAN,Male,62,Living together as married,Full time
CAN,Female,54,Separated,Part time
CAN,Female,20,Single,Unemployed
CAN,Male,35,Separated,Full time
CAN,Female,39,Divorced,Full time
CAN,Female,18,Single,Student
CAN,Male,43,Married,Full time
CAN,Male,32,Single,Unemployed
CAN,Female,66,Married,Retired/pensioned
CAN,Male,84,Married,Retired/pensioned
CAN,Male,50,Married,Full time
CAN,Female,71,Divorced,Retired/pensioned
CAN,Female,81,Divorced,Retired/pensioned
CAN,Male,75,Married,Retired/pensioned
CAN,Male,54,Married,Self employed
CAN,Male,63,Married,Retired/pensioned
CAN,Female,38,Living together as married,Full time
CAN,Male,82,Married,Retired/pensioned
CAN,Female,26,Single,Full time
CAN,Male,58,Single,Full time
CAN,Male,73,Married,Retired/pensioned
CAN,Male,44,Living together as married,Self employed
CAN,Male,64,Married,Self employed
CAN,Male,86,Married,Retired/pensioned
CAN,Female,66,Married,Retired/pensioned
CAN,Male,51,Married,Self employed
CAN,Male,40,Married,Full time
CAN,Male,31,Separated,Full time
CAN,Male,41,Married,Full time
CAN,Male,42,Living together as married,Full time
CAN,Male,35,Married,Full time
CAN,Female,39,Living together as married,Full time
CAN,Female,69,Single,Self employed
CAN,Male,60,Single,Retired/pensioned
CAN,Female,74,Divorced,Retired/pensioned
CAN,Male,72,Divorced,Self employed
CAN,Male,43,Married,Full time
CAN,Male,38,Married,Full time
CAN,Female,56,Married,Unemployed
CAN,Male,34,Married,Full time
CAN,Female,32,Married,Full time
CAN,Female,28,Single,Full time
CAN,Male,49,Single,Self employed
CAN,Male,67,Single,Retired/pensioned
CAN,Male,63,Married,Retired/pensioned
CAN,Male,35,Married,Full time
CAN,Female,40,Living together as married,Full time
CAN,Female,32,Married,Homemaker not otherwise employed
CAN,Male,37,Living together as married,Full time
CAN,Female,33,Married,Homemaker not otherwise employed
CAN,Female,63,Married,Retired/pensioned
CAN,Male,58,Divorced,Self employed
CAN,Male,40,Married,Full time
CAN,Male,47,Married,Full time
CAN,Male,67,Divorced,Retired/pensioned
CAN,Male,45,Married,Full time
CAN,Female,19,Single,Student
CAN,Female,45,Married,Full time
CAN,Female,42,Single,Full time
CAN,Male,47,Married,Full time
CAN,Female,21,Single,Student
CAN,Female,59,Divorced,Unemployed
CAN,Male,71,Married,Retired/pensioned
CAN,Male,36,Married,Unemployed
CAN,Female,56,Living together as married,Full time
CAN,Male,27,Living together as married,Full time
CAN,Male,43,Single,Full time
CAN,Female,29,Married,Full time
CAN,Female,19,Single,Student
CAN,Male,34,Married,Full time
CAN,Male,58,Single,Full time
CAN,Male,44,Single,Full time
CAN,Male,68,Married,Retired/pensioned
CAN,Male,78,Married,Retired/pensioned
CAN,Male,78,Separated,Retired/pensioned
CAN,Female,67,Married,Retired/pensioned
CAN,Male,32,Married,Full time
CAN,Female,69,Living together as married,Retired/pensioned
CAN,Male,39,Single,Full time
CAN,Male,26,Living together as married,Unemployed
CAN,Male,38,Married,Full time
CAN,Female,34,Single,Unemployed
CAN,Male,34,Married,Full time
CAN,Male,42,Married,Full time
CAN,Male,43,Married,Full time
CAN,Male,34,Married,Full time
CAN,Male,32,Married,Full time
CAN,Male,75,Married,Part time
CAN,Male,31,Married,Full time
CAN,Female,28,Married,Homemaker not otherwise employed
CAN,Male,28,Living together as married,Unemployed
CAN,Female,58,Separated,Full time
CAN,Male,27,Living together as married,Full time
CAN,Male,59,Married,Retired/pensioned
CAN,Male,32,Single,Full time
CAN,Female,35,Living together as married,Full time
CAN,Female,32,Single,Full time
CAN,Female,33,Married,Full time
CAN,Male,41,Married,Full time
CAN,Female,37,Living together as married,Full time
CAN,Male,74,Married,Retired/pensioned
CAN,Male,71,Living together as married,Retired/pensioned
CAN,Female,55,Living together as married,Retired/pensioned
CAN,Female,66,Married,Part time
CAN,Male,32,Single,Full time
CAN,Female,33,Single,Full time
CAN,Female,35,Living together as married,Self employed
CAN,Male,34,Married,Full time
CAN,Female,49,Married,Part time
CAN,Male,73,Married,Retired/pensioned
CAN,Male,37,Single,Full time
CAN,Male,58,Living together as married,Full time
CAN,Male,27,Single,Student
CAN,Male,31,Married,Part time
CAN,Female,30,Single,Full time
CAN,Male,80,Married,Retired/pensioned
CAN,Female,32,Single,Student
CAN,Female,18,Single,Student
CAN,Male,64,Married,Retired/pensioned
CAN,Male,37,Married,Full time
CAN,Female,56,Married,Part time
CAN,Male,69,Married,Retired/pensioned
CAN,Male,28,Married,Full time
CAN,Male,28,Living together as married,Full time
CAN,Female,27,Living together as married,Full time
CAN,Male,63,Married,Retired/pensioned
CAN,Male,56,Living together as married,Full time
CAN,Female,29,Single,Full time
CAN,Male,48,Living together as married,Self employed
CAN,Male,50,Married,Full time
CAN,Female,69,Living together as married,Retired/pensioned
CAN,Female,66,Married,Retired/pensioned
CAN,Female,47,Single,Part time
CAN,Male,48,Married,Full time
CAN,Male,23,Single,Student
CAN,Female,43,Married,Unemployed
CAN,Female,59,Married,Retired/pensioned
CAN,Male,53,Married,Full time
CAN,Male,50,Single,Full time
CAN,Female,43,Married,Homemaker not otherwise employed
CAN,Male,70,Married,Self employed
CAN,Female,25,Single,Unemployed
CAN,Male,18,Single,Student
CAN,Female,24,Single,Part time
CAN,Female,66,Divorced,Part time
CAN,Male,29,Living together as married,Full time
CAN,Male,60,Married,Full time
CAN,Male,63,Married,Retired/pensioned
CAN,Male,34,Married,Full time
CAN,Male,30,Single,Full time
CAN,Male,51,Living together as married,Full time
CAN,Male,35,Married,Full time
CAN,Female,37,Separated,Full time
CAN,Male,38,Single,Full time
CAN,Male,26,Single,Full time
CAN,Male,41,Married,Full time
CAN,Female,40,Single,Full time
CAN,Male,58,Married,Full time
CAN,Female,37,Married,Full time
CAN,Female,34,Married,Part time
CAN,Male,26,Single,Full time
CAN,Female,56,Divorced,Full time
CAN,Female,20,Living together as married,Part time
CAN,Female,30,Married,Full time
CAN,Male,34,Single,Full time
CAN,Male,22,Married,Full time
CAN,Male,65,Married,Retired/pensioned
CAN,Male,40,Married,Full time
CAN,Male,76,Married,Retired/pensioned
CAN,Female,18,Single,Part time
CAN,Male,39,Single,Full time
CAN,Female,24,Married,Student
CAN,Male,25,Single,Full time
CAN,Male,25,Single,Student
CAN,Male,58,Married,Retired/pensioned
CAN,Male,51,Single,Full time
CAN,Male,60,Married,Full time
CAN,Male,48,Single,Unemployed
CAN,Female,41,Single,Full time
CAN,Male,54,Married,Full time
CAN,Female,39,Married,Other
CAN,Male,44,Single,Full time
CAN,Male,29,Single,Full time
CAN,Male,76,Married,Retired/pensioned
CAN,Male,71,Married,Retired/pensioned
CAN,Male,22,Single,Unemployed
CAN,Female,39,Married,Homemaker not otherwise employed
CAN,Female,20,Single,Full time
CAN,Female,42,Single,Self employed
CAN,Female,40,Married,Full time
CAN,Female,60,Married,Part time
CAN,Female,45,Single,Full time
CAN,Female,31,Married,Part time
CAN,Female,29,Single,Full time
CAN,Female,57,Divorced,Full time
CAN,Female,35,Married,Homemaker not otherwise employed
CAN,Male,51,Single,Unemployed
CAN,Female,51,Divorced,Full time
CAN,Female,41,Living together as married,Full time
CAN,Female,46,Married,Homemaker not otherwise employed
CAN,Female,18,Single,Part time
CAN,Male,68,Married,Retired/pensioned
CAN,Male,69,Married,Retired/pensioned
CAN,Male,68,Married,Retired/pensioned
CAN,Male,35,Married,Full time
CAN,Female,75,Single,Self employed
CAN,Male,32,Married,Full time
CAN,Male,51,Living together as married,Full time
CAN,Male,79,Married,Retired/pensioned
CAN,Male,30,Living together as married,Self employed
CAN,Female,71,Divorced,Retired/pensioned
CAN,Male,43,Married,Full time
CAN,Male,41,Single,Unemployed
CAN,Male,38,Married,Full time
CAN,Female,25,Single,Student
CAN,Male,43,Married,Part time
CAN,Female,62,Single,Unemployed
CAN,Female,52,Divorced,Unemployed
CAN,Male,36,Married,Full time
CAN,Male,32,Single,Student
CAN,Female,35,Single,Full time
CAN,Male,54,Married,Full time
CAN,Male,45,Married,Full time
CAN,Female,66,Single,Other
CAN,Female,30,Living together as married,Full time
CAN,Female,21,Single,Part time
CAN,Female,21,Single,Student
CAN,Female,67,Married,Part time
CAN,Female,65,Married,Retired/pensioned
CAN,Male,45,Living together as married,Full time
CAN,Female,44,Married,Unemployed
CAN,Male,49,Married,Full time
CAN,Female,41,Separated,Self employed
CAN,Male,32,Single,Full time
CAN,Female,33,Married,Part time
CAN,Male,45,Married,Self employed
CAN,Male,34,Married,Full time
CAN,Male,21,Married,Student
CAN,Female,47,Married,Full time
CAN,Female,27,Single,Student
CAN,Female,54,Single,Full time
CAN,Male,63,Single,Full time
CAN,Female,31,Living together as married,Full time
CAN,Male,69,Single,Retired/pensioned
CAN,Male,62,Married,Self employed
CAN,Female,58,Living together as married,Unemployed
CAN,Female,63,Married,Retired/pensioned
CAN,Female,21,Separated,Self employed
CAN,Female,44,Single,Full time
CAN,Male,36,Single,Unemployed
CAN,Male,26,Single,Full time
CAN,Female,59,Married,Full time
CAN,Female,47,Single,Full time
CAN,Female,27,Living together as married,Full time
CAN,Female,18,Single,Student
CAN,Female,66,Married,Retired/pensioned
CAN,Male,29,Single,Full time
CAN,Female,37,Married,Full time
CAN,Male,33,Single,Full time
CAN,Male,40,Married,Full time
CAN,Female,30,Single,Student
CAN,Male,42,Living together as married,Self employed
CAN,Male,25,Single,Full time
CAN,Male,35,Married,Full time
CAN,Male,36,Married,Unemployed
CAN,Male,44,Living together as married,Full time
CAN,Female,38,Single,Full time
CAN,Male,35,Single,Full time
CAN,Male,50,Single,Unemployed
CAN,Female,64,Married,Retired/pensioned
CAN,Male,44,Single,Unemployed
CAN,Male,26,Married,Full time
CAN,Female,48,Single,Other
CAN,Male,33,Living together as married,Full time
CAN,Male,24,Single,Student
CAN,Male,27,Single,Full time
CAN,Female,33,Single,Part time
CAN,Male,50,Living together as married,Full time
CAN,Male,43,Married,Full time
CAN,Female,28,Single,Part time
CAN,Female,33,Married,Homemaker not otherwise employed
CAN,Female,52,Married,Full time
CAN,Female,31,Single,Full time
CAN,Female,31,Married,Unemployed
CAN,Female,20,Single,Student
CAN,Male,31,Married,Full time
CAN,Male,49,Divorced,Full time
CAN,Male,33,Married,Full time
CAN,Male,57,Married,Self employed
CAN,Male,63,Single,Retired/pensioned
CAN,Female,26,Married,Full time
CAN,Male,45,Married,Unemployed
CAN,Male,31,Married,Full time
CAN,Female,37,Living together as married,Full time
CAN,Female,56,Widowed,Full time
CAN,Male,65,Married,Retired/pensioned
CAN,Male,43,Single,Other
CAN,Female,52,Married,Homemaker not otherwise employed
CAN,Male,48,Separated,Full time
CAN,Female,62,Living together as married,Retired/pensioned
CAN,Female,57,Living together as married,Retired/pensioned
CAN,Male,52,Living together as married,Full time
CAN,Male,35,Living together as married,Full time
CAN,Female,50,Living together as married,Full time
CAN,Female,20,Single,Full time
CAN,Female,49,Married,Part time
CAN,Female,57,Married,Full time
CAN,Female,65,Married,Retired/pensioned
CAN,Female,24,Single,Student
CAN,Male,77,Married,Retired/pensioned
CAN,Male,52,Single,Unemployed
CAN,Female,69,Living together as married,Retired/pensioned
CAN,Male,44,Living together as married,Full time
CAN,Female,35,Married,Part time
CAN,Female,19,Married,Student
CAN,Male,29,Living together as married,Full time
CAN,Male,59,Married,Full time
CAN,Male,31,Living together as married,Full time
CAN,Male,52,Living together as married,Full time
CAN,Male,35,Married,Full time
CAN,Male,71,Married,Retired/pensioned
CAN,Male,36,Living together as married,Full time
CAN,Male,31,Single,Full time
CAN,Male,49,Single,Full time
CAN,Female,24,Living together as married,Full time
CAN,Male,69,Married,Retired/pensioned
CAN,Male,45,Living together as married,Full time
CAN,Female,28,Living together as married,Full time
CAN,Male,33,Married,Full time
CAN,Female,22,Single,Student
CAN,Female,24,Single,Unemployed
CAN,Female,26,Single,Full time
CAN,Male,54,Married,Full time
CAN,Female,54,Married,Full time
CAN,Male,24,Single,Full time
CAN,Female,21,Single,Part time
CAN,Male,38,Married,Full time
CAN,Male,60,Living together as married,Retired/pensioned
CAN,Male,71,Living together as married,Retired/pensioned
CAN,Female,34,Single,Student
CAN,Female,47,Living together as married,Part time
CAN,Male,41,Married,Unemployed
CAN,Female,49,Divorced,Full time
CAN,Male,63,Married,Retired/pensioned
CAN,Male,40,Married,Full time
CAN,Female,61,Living together as married,Retired/pensioned
CAN,Female,23,Living together as married,Full time
CAN,Female,35,Married,Full time
CAN,Female,28,Married,Full time
CAN,Male,39,Separated,Full time
CAN,Male,36,Married,Full time
CAN,Male,71,Married,Retired/pensioned
CAN,Male,77,Married,Retired/pensioned
CAN,Female,26,Single,Student
CAN,Male,49,Married,Full time
CAN,Male,22,Single,Full time
CAN,Female,48,Married,Homemaker not otherwise employed
CAN,Female,25,Married,Full time
CAN,Female,19,Single,Part time
CAN,Female,63,Married,Full time
CAN,Male,62,Married,Retired/pensioned
CAN,Female,27,Living together as married,Homemaker not otherwise employed
CAN,Female,34,Married,Full time
CAN,Female,48,Married,Homemaker not otherwise employed
CAN,Male,48,Married,Full time
CAN,Male,26,Single,Part time
CAN,Male,45,Living together as married,Full time
CAN,Female,22,Single,Student
CAN,Male,68,Married,Retired/pensioned
CAN,Male,50,Married,Full time
CAN,Female,35,Living together as married,Full time
CAN,Female,32,Single,Student
CAN,Male,53,Living together as married,Full time
CAN,Male,48,Divorced,Full time
CAN,Male,33,Married,Full time
CAN,Female,48,Living together as married,Full time
CAN,Female,68,Widowed,Retired/pensioned
CAN,Male,59,Married,Full time
CAN,Male,30,Living together as married,Full time
CAN,Male,52,Living together as married,Full time
CAN,Male,32,Married,Full time
CAN,Male,27,Single,Full time
CAN,Male,29,Married,Full time
CAN,Female,30,Single,Part time
CAN,Female,46,Married,Full time
CAN,Male,18,Single,Student
CAN,Male,33,Married,Full time
CAN,Male,69,Married,Retired/pensioned
CAN,Female,60,Married,Full time
CAN,Female,34,Living together as married,Full time
CAN,Female,42,Married,Full time
CAN,Female,32,Married,Full time
CAN,Female,27,Married,Homemaker not otherwise employed
CAN,Female,38,Single,Full time
CAN,Female,66,Single,Other
CAN,Female,76,Divorced,Retired/pensioned
CAN,Male,32,Married,Full time
CAN,Male,77,Married,Retired/pensioned
CAN,Male,33,Married,Full time
CAN,Female,34,Married,Full time
CAN,Female,71,Married,Retired/pensioned
CAN,Female,19,Single,Student
CAN,Male,54,Single,Unemployed
CAN,Male,44,Married,Full time
CAN,Female,68,Widowed,Part time
CAN,Male,49,Single,Full time
CAN,Male,22,Single,Student
CAN,Female,28,Living together as married,Full time
CAN,Male,31,Single,Unemployed
CAN,Male,33,Single,Full time
CAN,Male,64,Married,Part time
CAN,Female,56,Married,Part time
CAN,Male,44,Divorced,Part time
CAN,Male,31,Living together as married,Full time
CAN,Male,38,Married,Full time
CAN,Female,47,Single,Full time
CAN,Male,30,Married,Full time
CAN,Female,51,Single,Other
CAN,Female,58,Married,Retired/pensioned
CAN,Female,75,Widowed,Retired/pensioned
CAN,Male,27,Single,Full time
CAN,Female,51,Living together as married,Full time
CAN,Male,59,Widowed,Retired/pensioned
CAN,Female,23,Single,Full time
CAN,Male,71,Married,Part time
CAN,Male,32,Married,Full time
CAN,Male,67,Married,Retired/pensioned
CAN,Male,40,Married,Full time
CAN,Female,55,Married,Homemaker not otherwise employed
CAN,Male,77,Married,Retired/pensioned
CAN,Male,27,Married,Full time
CAN,Male,72,Married,Retired/pensioned
CAN,Male,55,Living together as married,Retired/pensioned
CAN,Male,27,Married,Full time
CAN,Female,54,Living together as married,Retired/pensioned
CAN,Male,35,Living together as married,Full time
CAN,Male,55,Single,Unemployed
CAN,Female,42,Single,Self employed
CAN,Female,21,Single,Student
CAN,Female,55,Married,Self employed
CAN,Female,49,Living together as married,Self employed
CAN,Male,57,Single,Full time
CAN,Female,39,Married,Homemaker not otherwise employed
CAN,Female,44,Living together as married,Part time
CAN,Male,36,Married,Self employed
CAN,Female,71,Married,Retired/pensioned
CAN,Female,27,Living together as married,Full time
CAN,Male,47,Living together as married,Full time
CAN,Male,68,Married,Retired/pensioned
CAN,Female,20,Single,Student
CAN,Male,34,Married,Full time
CAN,Female,66,Divorced,Full time
CAN,Male,53,Married,Unemployed
CAN,Female,20,Single,Student
CAN,Female,30,Married,Homemaker not otherwise employed
CAN,Female,50,Married,Unemployed
CAN,Male,65,Married,Full time
CAN,Female,48,Single,Full time
CAN,Female,32,Single,Full time
CAN,Female,70,Widowed,Retired/pensioned
CAN,Male,37,Divorced,Retired/pensioned
CAN,Female,24,Living together as married,Full time
CAN,Male,53,Married,Full time
CAN,Male,69,Single,Retired/pensioned
CAN,Female,28,Living together as married,Full time
CAN,Female,24,Single,Part time
CAN,Female,78,Divorced,Retired/pensioned
CAN,Female,21,Living together as married,Student
CAN,Male,30,Living together as married,Full time
CAN,Female,40,Living together as married,Self employed
CAN,Female,55,Married,Full time
CAN,Male,63,Widowed,Retired/pensioned
CAN,Female,62,Married,Retired/pensioned
CAN,Male,69,Married,Retired/pensioned
CAN,Male,71,Married,Retired/pensioned
CAN,Male,73,Married,Retired/pensioned
CAN,Male,86,Widowed,Retired/pensioned
CAN,Male,57,Divorced,Part time
CAN,Female,52,Living together as married,Full time
CAN,Female,39,Living together as married,Part time
CAN,Female,32,Single,Full time
CAN,Male,52,Single,Homemaker not otherwise employed
CAN,Female,55,Single,Unemployed
CAN,Female,55,Living together as married,Unemployed
CAN,Female,34,Married,Full time
CAN,Female,31,Single,Self employed
CAN,Female,34,Living together as married,Full time
CAN,Female,35,Living together as married,Full time
CAN,Female,30,Living together as married,Homemaker not otherwise employed
CAN,Female,22,Living together as married,Part time
CAN,Female,28,Living together as married,Full time
CAN,Female,39,Married,Homemaker not otherwise employed
CAN,Male,70,Married,Retired/pensioned
CAN,Male,70,Married,Retired/pensioned
CAN,Male,56,Married,Retired/pensioned
CAN,Female,26,Living together as married,Full time
CAN,Female,20,Single,Part time
CAN,Female,40,Divorced,Full time
CAN,Female,25,Living together as married,Other
CAN,Female,26,Single,Full time
CAN,Male,46,Married,Full time
CAN,Female,43,Living together as married,Full time
CAN,Female,57,Living together as married,Part time
CAN,Male,49,Living together as married,Full time
CAN,Male,68,Single,Retired/pensioned
CAN,Female,41,Married,Homemaker not otherwise employed
CAN,Female,26,Single,Full time
CAN,Female,31,Living together as married,Part time
CAN,Female,24,Single,Student
CAN,Female,53,Married,Homemaker not otherwise employed
CAN,Male,44,Separated,Full time
CAN,Male,60,Married,Retired/pensioned
CAN,Male,68,Married,Retired/pensioned
CAN,Male,57,Married,Unemployed
CAN,Male,32,Single,Self employed
CAN,Female,29,Separated,Full time
CAN,Female,72,Married,Retired/pensioned
CAN,Female,63,Married,Retired/pensioned
CAN,Male,20,Living together as married,Full time
CAN,Female,27,Living together as married,Part time
CAN,Male,68,Married,Retired/pensioned
CAN,Male,32,Married,Full time
CAN,Female,51,Single,Full time
CAN,Male,60,Married,Full time
CAN,Female,58,Living together as married,Retired/pensioned
CAN,Female,46,Married,Homemaker not otherwise employed
CAN,Female,48,Married,Full time
CAN,Female,23,Single,Student
CAN,Male,62,Married,Part time
